Carrier,Origin,Destination,Season,Status,Retry Count,Sources Tried,Error,Validation Issues,Elapsed (s)
BR,AMS,BKK,Summer,no_availability,0,,Ubfly: BR not on route AMS-BKK,,53.832
BR,AMS,BKK,Winter,no_availability,0,,Ubfly: BR not on route AMS-BKK,,51.108
BR,BKK,AMS,Summer,no_availability,0,,Ubfly: BR not on route BKK-AMS,,53.311
BR,BKK,AMS,Winter,no_availability,0,,Ubfly: BR not on route BKK-AMS,,45.599
VS,JFK,DEL,Summer,no_availability,0,,Ubfly: VS not on route JFK-DEL,,49.867
VS,JFK,DEL,Winter,no_availability,0,,Ubfly: VS not on route JFK-DEL,,57.505
BR,HKG,JFK,Summer,no_availability,0,,Ubfly: BR not on route HKG-JFK,,46.172
BR,HKG,JFK,Winter,no_availability,0,,Ubfly: BR not on route HKG-JFK,,45.413
BR,HKG,YYZ,Summer,no_availability,0,,Ubfly: BR not on route HKG-YYZ,,40.397
BR,HKG,YYZ,Winter,no_availability,0,,Ubfly: BR not on route HKG-YYZ,,41.868
OZ,JFK,HKG,Summer,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,51.583
OZ,JFK,HKG,Winter,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,45.3
BR,JFK,HKG,Summer,no_availability,0,,Ubfly: BR not on route JFK-HKG,,51.58
BR,JFK,HKG,Winter,no_availability,0,,Ubfly: BR not on route JFK-HKG,,40.483
BR,YYZ,HKG,Summer,no_availability,0,,Ubfly: BR not on route YYZ-HKG,,36.117
BR,YYZ,HKG,Winter,no_availability,0,,Ubfly: BR not on route YYZ-HKG,,37.006
BR,JFK,TPE,Summer,no_availability,0,,Ubfly: BR not on route JFK-TPE,,50.956
BR,JFK,TPE,Winter,no_availability,0,,Ubfly: BR not on route JFK-TPE,,52.869
SV,ISB,LHR,Summer,no_availability,0,,Ubfly: SV not on route ISB-LHR,,35.23
TR,SIN,ATH,Summer,no_availability,0,,Ubfly: TR not on route SIN-ATH,,44.592
TR,SIN,ATH,Winter,no_availability,0,,Ubfly: TR not on route SIN-ATH,,81.277
TR,ATH,SIN,Summer,no_availability,0,,Ubfly: TR not on route ATH-SIN,,56.994
TR,ATH,SIN,Winter,no_availability,0,,Ubfly: TR not on route ATH-SIN,,55.13
EK,SJJ,KUL,Summer,no_availability,0,,Ubfly: EK not on route SJJ-KUL,,36.024
EK,SJJ,KUL,Winter,no_availability,0,,Ubfly: EK not on route SJJ-KUL,,39.657
QR,SJJ,KUL,Summer,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,26.754
QR,SJJ,KUL,Winter,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,25.197
MH,SJJ,KUL,Summer,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,3.408
MH,SJJ,KUL,Winter,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,12.266
