Carrier,Origin,Destination,Season,Status,Retry Count,Sources Tried,Error,Validation Issues,Elapsed (s)
BR,AMS,BKK,Summer,no_availability,0,,Ubfly: BR not on route AMS-BKK,,93.001
BR,AMS,BKK,Winter,no_availability,0,,Ubfly: BR not on route AMS-BKK,,93.017
BR,HKG,JFK,Summer,no_availability,0,,Ubfly: BR not on route HKG-JFK,,87.981
BR,HKG,JFK,Winter,no_availability,0,,Ubfly: BR not on route HKG-JFK,,89.557
BR,HKG,YYZ,Summer,no_availability,0,,Ubfly: BR not on route HKG-YYZ,,89.003
BR,HKG,YYZ,Winter,no_availability,0,,Ubfly: BR not on route HKG-YYZ,,88.307
OZ,JFK,HKG,Summer,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,78.699
OZ,JFK,HKG,Winter,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,75.74
BR,JFK,HKG,Summer,no_availability,0,,Ubfly: BR not on route JFK-HKG,,78.085
BR,JFK,HKG,Winter,no_availability,0,,Ubfly: BR not on route JFK-HKG,,51.789
BR,YYZ,HKG,Summer,no_availability,0,,Ubfly: BR not on route YYZ-HKG,,63.89
BR,YYZ,HKG,Winter,no_availability,0,,Ubfly: BR not on route YYZ-HKG,,71.92
BR,JFK,TPE,Summer,no_availability,0,,Ubfly: BR not on route JFK-TPE,,75.952
BR,JFK,TPE,Winter,no_availability,0,,Ubfly: BR not on route JFK-TPE,,75.185
TR,SIN,ATH,Summer,no_availability,0,,Ubfly: TR not on route SIN-ATH,,67.489
TR,SIN,ATH,Winter,no_availability,0,,Ubfly: TR not on route SIN-ATH,,66.37
TR,ATH,SIN,Summer,no_availability,0,,Ubfly: TR not on route ATH-SIN,,64.683
TR,ATH,SIN,Winter,no_availability,0,,Ubfly: TR not on route ATH-SIN,,77.334
EK,SJJ,KUL,Summer,no_availability,0,,Ubfly: EK not on route SJJ-KUL,,46.486
EK,SJJ,KUL,Winter,no_availability,0,,Ubfly: EK not on route SJJ-KUL,,33.501
QR,SJJ,KUL,Summer,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,29.161
QR,SJJ,KUL,Winter,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,26.243
MH,SJJ,KUL,Summer,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,21.663
MH,SJJ,KUL,Winter,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,23.976
