Carrier,Origin,Destination,Season,Status,Retry Count,Sources Tried,Error,Validation Issues,Elapsed (s)
QF,LHR,SIN,Summer,no_availability,0,,Ubfly: QF not on route LHR-SIN,,48.593
BR,AMS,BKK,Summer,no_availability,0,,Ubfly: BR not on route AMS-BKK,,62.181
BR,AMS,BKK,Winter,no_availability,0,,Ubfly: BR not on route AMS-BKK,,62.134
BR,BKK,AMS,Summer,no_availability,0,,Ubfly: BR not on route BKK-AMS,,50.674
BR,HKG,JFK,Summer,no_availability,0,,Ubfly: BR not on route HKG-JFK,,39.682
BR,HKG,JFK,Winter,no_availability,0,,Ubfly: BR not on route HKG-JFK,,48.045
BR,HKG,YYZ,Summer,no_availability,0,,Ubfly: BR not on route HKG-YYZ,,39.192
BR,HKG,YYZ,Winter,no_availability,0,,Ubfly: BR not on route HKG-YYZ,,39.414
OZ,JFK,HKG,Summer,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,40.953
OZ,JFK,HKG,Winter,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,38.715
BR,JFK,HKG,Summer,no_availability,0,,Ubfly: BR not on route JFK-HKG,,40.94
BR,JFK,HKG,Winter,no_availability,0,,Ubfly: BR not on route JFK-HKG,,38.494
BR,YYZ,HKG,Summer,no_availability,0,,Ubfly: BR not on route YYZ-HKG,,31.324
BR,YYZ,HKG,Winter,no_availability,0,,Ubfly: BR not on route YYZ-HKG,,32.947
BR,JFK,TPE,Summer,no_availability,0,,Ubfly: BR not on route JFK-TPE,,36.948
BR,JFK,TPE,Winter,no_availability,0,,Ubfly: BR not on route JFK-TPE,,42.074
TR,SIN,ATH,Summer,no_availability,0,,Ubfly: TR not on route SIN-ATH,,47.764
TR,SIN,ATH,Winter,no_availability,0,,Ubfly: TR not on route SIN-ATH,,46.501
TR,ATH,SIN,Summer,no_availability,0,,Ubfly: TR not on route ATH-SIN,,44.133
TR,ATH,SIN,Winter,no_availability,0,,Ubfly: TR not on route ATH-SIN,,42.974
EK,SJJ,KUL,Summer,no_availability,0,,Ubfly: EK not on route SJJ-KUL,,35.392
EK,SJJ,KUL,Winter,no_availability,0,,Ubfly: EK not on route SJJ-KUL,,32.451
QR,SJJ,KUL,Summer,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,24.33
QR,SJJ,KUL,Winter,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,16.178
MH,SJJ,KUL,Summer,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,17.444
MH,SJJ,KUL,Winter,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,3.866
