Carrier,Origin,Destination,Season,Status,Retry Count,Sources Tried,Error,Validation Issues,Elapsed (s)
AC,YTZ,HKG,Summer,no_availability,0,,Ubfly: no flights YTZ-HKG 2027-05-30,,814.189
AC,YTZ,MNL,Winter,no_availability,0,,Ubfly: no flights YTZ-MNL 2026-11-20,,744.06
CA,MXP,ICN,Summer,no_availability,0,,Ubfly: CA not on route MXP-ICN,,132.796
VS,MLE,LHR,Summer,no_availability,0,,Ubfly: VS not on route MLE-LHR,,24.092
MU,BKK,LGW,Summer,no_availability,0,,Ubfly: MU not on route BKK-LGW,,48.19
ET,GRU,CAN,Summer,no_availability,0,,Ubfly: ET not on route GRU-CAN,,0.0
ET,GRU,CAN,Winter,no_availability,0,,Ubfly: ET not on route GRU-CAN,,0.0
ET,GRU,PVG,Summer,no_availability,0,,Ubfly: ET not on route GRU-PVG,,0.0
ET,GRU,PVG,Winter,no_availability,0,,Ubfly: ET not on route GRU-PVG,,0.0
JL,GRU,HND,Summer,no_availability,0,,Ubfly: JL not on route GRU-HND,,0.0
JL,GRU,HND,Winter,no_availability,0,,Ubfly: JL not on route GRU-HND,,0.0
ET,GRU,NRT,Summer,no_availability,0,,Ubfly: ET not on route GRU-NRT,,0.0
ET,GRU,NRT,Winter,no_availability,0,,Ubfly: ET not on route GRU-NRT,,0.0
AF,CGH,ICN,Summer,no_availability,0,,Ubfly: AF not on route CGH-ICN,,0.0
AF,CGH,ICN,Winter,no_availability,0,,Ubfly: AF not on route CGH-ICN,,0.0
QR,CGH,ICN,Summer,no_availability,0,,Ubfly: QR not on route CGH-ICN,,0.0
QR,CGH,ICN,Winter,no_availability,0,,Ubfly: QR not on route CGH-ICN,,0.0
AA,CGH,ICN,Summer,no_availability,0,,Ubfly: AA not on route CGH-ICN,,0.0
AA,CGH,ICN,Winter,no_availability,0,,Ubfly: AA not on route CGH-ICN,,0.0
AA,GRU,GMP,Summer,no_availability,0,,Ubfly: AA not on route GRU-GMP,,0.0
AA,GRU,GMP,Winter,no_availability,0,,Ubfly: AA not on route GRU-GMP,,0.0
JL,GRU,GMP,Summer,no_availability,0,,Ubfly: JL not on route GRU-GMP,,0.0
JL,GRU,GMP,Winter,no_availability,0,,Ubfly: JL not on route GRU-GMP,,0.0
NH,GRU,GMP,Summer,no_availability,0,,Ubfly: NH not on route GRU-GMP,,0.0
NH,GRU,GMP,Winter,no_availability,0,,Ubfly: NH not on route GRU-GMP,,0.0
UA,YTZ,HKG,Summer,no_availability,0,,Ubfly: UA not on route YTZ-HKG,,0.0
UA,YTZ,HKG,Winter,no_availability,0,,Ubfly: UA not on route YTZ-HKG,,0.0
CX,YTZ,HKG,Summer,no_availability,0,,Ubfly: CX not on route YTZ-HKG,,0.0
CX,YTZ,HKG,Winter,no_availability,0,,Ubfly: CX not on route YTZ-HKG,,0.0
CX,YUL,HKG,Summer,no_availability,0,,Ubfly: CX not on route YUL-HKG,,0.0
CX,YUL,HKG,Winter,no_availability,0,,Ubfly: CX not on route YUL-HKG,,0.0
UA,YYZ,HKG,Summer,no_availability,0,,Ubfly: UA not on route YYZ-HKG,,0.0
AC,YTZ,MNL,Summer,no_availability,0,,Ubfly: no flights YTZ-MNL 2026-09-07,,0.0
UA,YTZ,MNL,Summer,no_availability,0,,Ubfly: no flights YTZ-MNL 2026-09-07,,0.0
UA,YTZ,MNL,Winter,no_availability,0,,Ubfly: no flights YTZ-MNL 2026-11-20,,0.0
QR,YTZ,MNL,Summer,no_availability,0,,Ubfly: no flights YTZ-MNL 2026-09-07,,0.0
QR,YTZ,MNL,Winter,no_availability,0,,Ubfly: no flights YTZ-MNL 2026-11-20,,0.0
PR,YUL,MNL,Summer,no_availability,0,,Ubfly: PR not on route YUL-MNL,,0.0
PR,YUL,MNL,Winter,no_availability,0,,Ubfly: PR not on route YUL-MNL,,0.0
CZ,JFK,CAN,Summer,no_availability,0,,Ubfly: CZ not on route JFK-CAN,,0.0
CZ,JFK,CAN,Winter,no_availability,0,,Ubfly: CZ not on route JFK-CAN,,0.0
OZ,JFK,CAN,Summer,no_availability,0,,Ubfly: OZ not on route JFK-CAN,,0.0
OZ,JFK,CAN,Winter,no_availability,0,,Ubfly: OZ not on route JFK-CAN,,0.0
MU,JFK,PVG,Winter,no_availability,0,,Ubfly: MU not on route JFK-PVG,,0.0
OZ,JFK,BKK,Summer,no_availability,0,,Ubfly: OZ not on route JFK-BKK,,0.0
OZ,JFK,BKK,Winter,no_availability,0,,Ubfly: OZ not on route JFK-BKK,,0.0
BR,LAX,BKK,Summer,no_availability,0,,Ubfly: BR not on route LAX-BKK,,0.0
BR,LAX,BKK,Winter,no_availability,0,,Ubfly: BR not on route LAX-BKK,,0.0
OZ,LAX,BKK,Summer,no_availability,0,,Ubfly: OZ not on route LAX-BKK,,0.0
OZ,LAX,BKK,Winter,no_availability,0,,Ubfly: OZ not on route LAX-BKK,,0.0
BR,ORD,BKK,Summer,no_availability,0,,Ubfly: BR not on route ORD-BKK,,0.0
BR,ORD,BKK,Winter,no_availability,0,,Ubfly: BR not on route ORD-BKK,,0.0
W6,VAR,BER,Summer,no_availability,0,,Ubfly: W6 not on route VAR-BER,,0.0
W6,VAR,BER,Winter,no_availability,0,,Ubfly: W6 not on route VAR-BER,,0.0
SR,VAR,BER,Summer,no_availability,0,,Ubfly: SR not on route VAR-BER,,0.0
SR,VAR,BER,Winter,no_availability,0,,Ubfly: SR not on route VAR-BER,,0.0
W6,VAR,HAM,Summer,no_availability,0,,Ubfly: W6 not on route VAR-HAM,,0.0
W6,VAR,HAM,Winter,no_availability,0,,Ubfly: W6 not on route VAR-HAM,,0.0
EW,VAR,HAM,Summer,no_availability,0,,Ubfly: EW not on route VAR-HAM,,0.0
EW,VAR,HAM,Winter,no_availability,0,,Ubfly: EW not on route VAR-HAM,,0.0
W6,VAR,HHN,Summer,no_availability,0,,Ubfly: no flights VAR-HHN 2026-10-28,,0.0
W6,VAR,HHN,Winter,no_availability,0,,Ubfly: no flights VAR-HHN 2027-01-29,,0.0
W6,SOF,AGP,Summer,no_availability,0,,Ubfly: W6 not on route SOF-AGP,,0.0
W6,SOF,AGP,Winter,no_availability,0,,Ubfly: W6 not on route SOF-AGP,,0.0
FR,SOF,AGP,Summer,no_availability,0,,Ubfly: FR not on route SOF-AGP,,0.0
FR,SOF,AGP,Winter,no_availability,0,,Ubfly: FR not on route SOF-AGP,,0.0
VL,SOF,SVQ,Summer,no_availability,0,,Ubfly: VL not on route SOF-SVQ,,0.0
VL,SOF,SVQ,Winter,no_availability,0,,Ubfly: VL not on route SOF-SVQ,,0.0
W6,VAR,BCN,Summer,no_availability,0,,Ubfly: W6 not on route VAR-BCN,,0.0
W6,VAR,BCN,Winter,no_availability,0,,Ubfly: W6 not on route VAR-BCN,,0.0
OS,VAR,BCN,Summer,no_availability,0,,Ubfly: OS not on route VAR-BCN,,0.0
FR,SOF,EDI,Summer,no_availability,0,,Ubfly: FR not on route SOF-EDI,,0.0
FR,SOF,EDI,Winter,no_availability,0,,Ubfly: FR not on route SOF-EDI,,0.0
W9,VAR,LGW,Summer,no_availability,0,,Ubfly: W9 not on route VAR-LGW,,0.0
W9,VAR,LGW,Winter,no_availability,0,,Ubfly: W9 not on route VAR-LGW,,0.0
EW,VAR,LGW,Summer,no_availability,0,,Ubfly: EW not on route VAR-LGW,,0.0
EW,VAR,LGW,Winter,no_availability,0,,Ubfly: EW not on route VAR-LGW,,0.0
W6,VAR,LTN,Summer,no_availability,0,,Ubfly: no flights VAR-LTN 2027-04-11,,0.0
