Carrier,Origin,Destination,Season,Status,Retry Count,Sources Tried,Error,Validation Issues,Elapsed (s)
OZ,JFK,HKG,Summer,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,3.502
OZ,JFK,HKG,Winter,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,11.525
SV,ISB,LHR,Summer,no_availability,0,,Ubfly: SV not on route ISB-LHR,,26.619
TR,SIN,ATH,Summer,no_availability,0,,Ubfly: TR not on route SIN-ATH,,28.573
TR,SIN,ATH,Winter,no_availability,0,,Ubfly: TR not on route SIN-ATH,,29.347
TR,ATH,SIN,Summer,no_availability,0,,Ubfly: TR not on route ATH-SIN,,37.721
TR,ATH,SIN,Winter,no_availability,0,,Ubfly: TR not on route ATH-SIN,,39.447
QR,SJJ,KUL,Summer,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,4.492
QR,SJJ,KUL,Winter,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,4.239
MH,SJJ,KUL,Summer,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,4.491
MH,SJJ,KUL,Winter,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,4.239
