Carrier,Origin,Destination,Season,Status,Retry Count,Sources Tried,Error,Validation Issues,Elapsed (s)
BR,AMS,BKK,Summer,no_availability,0,,Ubfly: BR not on route AMS-BKK,,66.697
BR,AMS,BKK,Winter,no_availability,0,,Ubfly: BR not on route AMS-BKK,,66.243
BR,BKK,AMS,Summer,no_availability,0,,Ubfly: BR not on route BKK-AMS,,60.188
BR,BKK,AMS,Winter,no_availability,0,,Ubfly: BR not on route BKK-AMS,,55.499
VS,JFK,DEL,Summer,no_availability,0,,Ubfly: VS not on route JFK-DEL,,71.7
VS,JFK,DEL,Winter,no_availability,0,,Ubfly: VS not on route JFK-DEL,,76.664
BR,HKG,JFK,Summer,no_availability,0,,Ubfly: BR not on route HKG-JFK,,43.422
BR,HKG,JFK,Winter,no_availability,0,,Ubfly: BR not on route HKG-JFK,,42.37
BR,HKG,YYZ,Summer,no_availability,0,,Ubfly: BR not on route HKG-YYZ,,46.486
BR,HKG,YYZ,Winter,no_availability,0,,Ubfly: BR not on route HKG-YYZ,,43.01
OZ,JFK,HKG,Summer,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,52.866
OZ,JFK,HKG,Winter,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,52.072
BR,JFK,HKG,Summer,no_availability,0,,Ubfly: BR not on route JFK-HKG,,47.546
BR,JFK,HKG,Winter,no_availability,0,,Ubfly: BR not on route JFK-HKG,,45.978
BR,YYZ,HKG,Summer,no_availability,0,,Ubfly: BR not on route YYZ-HKG,,37.887
BR,YYZ,HKG,Winter,no_availability,0,,Ubfly: BR not on route YYZ-HKG,,52.687
BR,JFK,TPE,Summer,no_availability,0,,Ubfly: BR not on route JFK-TPE,,61.953
BR,JFK,TPE,Winter,no_availability,0,,Ubfly: BR not on route JFK-TPE,,67.552
SV,ISB,LHR,Summer,no_availability,0,,Ubfly: SV not on route ISB-LHR,,48.956
TR,SIN,ATH,Summer,no_availability,0,,Ubfly: TR not on route SIN-ATH,,73.269
TR,SIN,ATH,Winter,no_availability,0,,Ubfly: TR not on route SIN-ATH,,62.85
TR,ATH,SIN,Summer,no_availability,0,,Ubfly: TR not on route ATH-SIN,,64.333
TR,ATH,SIN,Winter,no_availability,0,,Ubfly: TR not on route ATH-SIN,,73.197
EK,SJJ,KUL,Summer,no_availability,0,,Ubfly: EK not on route SJJ-KUL,,46.647
EK,SJJ,KUL,Winter,no_availability,0,,Ubfly: EK not on route SJJ-KUL,,45.719
QR,SJJ,KUL,Summer,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,15.419
QR,SJJ,KUL,Winter,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,18.404
MH,SJJ,KUL,Summer,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,5.474
MH,SJJ,KUL,Winter,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,7.587
