Carrier,Origin,Destination,Origin City Code,Origin Country Code,Dest City Code,Dest Country Code,Departure Date,Return Date,Season,Cabin,Brand Order,Tier Code,Raw Brand Name,Normalized Brand Name,Display Price,Calculated Absolute Price,Currency,Source,Fare Family Code,Brand Description,Cabin Baggage,Checked Baggage,Seat Selection,Meal,Lounge,Priority Boarding,Fast Track,Refund,Change,No-Show Refund,No-Show Change,Same Day Earlier Flight,WiFi,Extra Baggage,Sports Equipment,Pet,Mileage Available,Miles Earned,Bonus Percent,Scrape Timestamp,Status,Retry Count
SV,JED,CAN,JED,SA,CAN,CN,2026-09-28,2026-10-01,Summer,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,370.55,USD,Ubfly,NBASICE,1 Free bag: 23 kg,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,35.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,CAN,JED,SA,CAN,CN,2026-09-28,2026-10-01,Summer,Economy,1,Eco-2,Economy Flex,Economy Flex,+49.19 USD,419.74,USD,Ubfly,NFLEXE,Change without penalty; Uninterrupted return (up to the last 12 hours); 2 Free bags: 23 kg,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,JED,CAN,JED,SA,CAN,CN,2026-09-28,2026-10-01,Summer,Business,0,Bus-1,Business Basic,Business Basic,0.00 USD,4306.04,USD,Ubfly,NBASICB,Business/First Class: 2 free bags; Priority Services,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,175.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,CAN,JED,SA,CAN,CN,2026-09-28,2026-10-01,Summer,Business,1,Bus-2,Business Flex,Business Flex,+116.44 USD,4422.48,USD,Ubfly,NFLEXB,Priority Services; Change without penalty; Uninterrupted return (up to the last 12 hours); Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,JED,CAN,JED,SA,CAN,CN,2027-03-02,2027-03-05,Winter,Economy,0,Eco-1,Basic,Economy Basic,0.00 USD,1041.0,USD,Ubfly,ECONVENIEN,,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,2026-07-29T13:34:28+00:00,success,0
SV,JED,CAN,JED,SA,CAN,CN,2027-03-03,2027-03-06,Winter,Business,0,Bus-1,Business Basic,Business Basic,0.00 USD,5144.65,USD,Ubfly,NBASICB,Priority Services; Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,175.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,CAN,JED,SA,CAN,CN,2027-03-03,2027-03-06,Winter,Business,1,Bus-2,Business Flex,Business Flex,+116.44 USD,5261.09,USD,Ubfly,NFLEXB,Priority Services; Change without penalty; Uninterrupted return (up to the last 12 hours); Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,JED,PKX,JED,SA,BJS,CN,2027-05-07,2027-05-10,Summer,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,1398.5,USD,Ubfly,NBASICE,1 Free bag: 23 kg,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,35.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,PKX,JED,SA,BJS,CN,2027-05-07,2027-05-10,Summer,Economy,1,Eco-2,Economy Flex,Economy Flex,+61.91 USD,1460.41,USD,Ubfly,NFLEXE,Change without penalty; Uninterrupted return (up to the last 12 hours); 2 Free bags: 23 kg,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,JED,PKX,JED,SA,BJS,CN,2027-05-07,2027-05-10,Summer,Business,0,Bus-1,Business Basic,Business Basic,0.00 USD,3061.18,USD,Ubfly,NBASICB,Business/First Class: 2 free bags; Priority Services,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,175.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,PKX,JED,SA,BJS,CN,2027-05-07,2027-05-10,Summer,Business,1,Bus-2,Business Flex,Business Flex,+111.03 USD,3172.21,USD,Ubfly,NFLEXB,Priority Services; Change without penalty; Uninterrupted return (up to the last 12 hours); Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,JED,PKX,JED,SA,BJS,CN,2027-03-17,2027-03-20,Winter,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,1398.5,USD,Ubfly,NBASICE,1 Free bag: 23 kg,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,35.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,PKX,JED,SA,BJS,CN,2027-03-17,2027-03-20,Winter,Economy,1,Eco-2,Economy Flex,Economy Flex,+61.91 USD,1460.41,USD,Ubfly,NFLEXE,Change without penalty; Uninterrupted return (up to the last 12 hours); 2 Free bags: 23 kg,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,JED,PKX,JED,SA,BJS,CN,2027-03-19,2027-03-22,Winter,Business,0,Bus-1,Business Basic,Business Basic,0.00 USD,3061.18,USD,Ubfly,NBASICB,Business/First Class: 2 free bags; Priority Services,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,175.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,PKX,JED,SA,BJS,CN,2027-03-19,2027-03-22,Winter,Business,1,Bus-2,Business Flex,Business Flex,+111.03 USD,3172.21,USD,Ubfly,NFLEXB,Priority Services; Change without penalty; Uninterrupted return (up to the last 12 hours); Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,JED,MNL,JED,SA,MNL,PH,2026-09-13,2026-09-16,Summer,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,1070.15,USD,Ubfly,NBASICE,1 Free bag: 23 kg,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,35.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,MNL,JED,SA,MNL,PH,2026-09-13,2026-09-16,Summer,Economy,1,Eco-2,Economy Flex,Economy Flex,+77.88 USD,1148.03,USD,Ubfly,NFLEXE,Change without penalty; Uninterrupted return (up to the last 12 hours); 2 Free bags: 23 kg,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,JED,MNL,JED,SA,MNL,PH,2026-09-13,2026-09-16,Summer,Business,0,Bus-1,Business Basic,Business Basic,0.00 USD,1803.82,USD,Ubfly,NBASICB,Business/First Class: 2 free bags; Priority Services,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,175.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,MNL,JED,SA,MNL,PH,2026-09-13,2026-09-16,Summer,Business,1,Bus-2,Business Flex,Business Flex,+67.17 USD,1870.99,USD,Ubfly,NFLEXB,Priority Services; Change without penalty; Uninterrupted return (up to the last 12 hours); Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,JED,MNL,JED,SA,MNL,PH,2027-02-01,2027-02-04,Winter,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,437.22,USD,Ubfly,NBASICE,Change with fee; Change with fee; Change with fee; Change with fee; Priority check-in not included,Included,Included,Paid,Unknown,Unknown,Not Included,Not Included,Paid,Not Included,Paid,Paid,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,60.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,MNL,JED,SA,MNL,PH,2027-02-01,2027-02-04,Winter,Economy,1,Eco-2,Economy Flex,Economy Flex,+23.02 USD,460.24,USD,Ubfly,NFLEXE,Change with fee; Change with fee; 2 pieces (23 kg each); Priority check-in not included,Included,Included,Paid,Unknown,Unknown,Not Included,Not Included,Paid,Paid,Paid,Paid,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,110.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,MNL,JED,SA,MNL,PH,2027-02-01,2027-02-04,Winter,Business,0,Bus-1,Business Basic,Business Basic,0.00 USD,1825.48,USD,Ubfly,NBASICB,Business/First Class: 2 free bags; Priority Services,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,175.0,2026-07-29T13:34:28+00:00,success,0
SV,JED,MNL,JED,SA,MNL,PH,2027-02-01,2027-02-04,Winter,Business,1,Bus-2,Business Flex,Business Flex,+67.17 USD,1892.65,USD,Ubfly,NFLEXB,Priority Services; Change without penalty; Uninterrupted return (up to the last 12 hours); Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,MED,MNL,MED,SA,MNL,PH,2027-04-08,2027-04-11,Summer,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,919.45,USD,Ubfly,NBASICE,1 Free bag: 23 kg,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,35.0,2026-07-29T13:34:28+00:00,success,0
SV,MED,MNL,MED,SA,MNL,PH,2027-04-08,2027-04-11,Summer,Economy,1,Eco-2,Economy Flex,Economy Flex,+48.09 USD,967.54,USD,Ubfly,NFLEXE,Change without penalty; Uninterrupted return (up to the last 12 hours); 2 Free bags: 23 kg,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,MED,MNL,MED,SA,MNL,PH,2027-04-08,2027-04-11,Summer,Business,0,Bus-1,Business Basic,Business Basic,0.00 USD,1904.64,USD,Ubfly,NBASICB,Priority Services; Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,175.0,2026-07-29T13:34:28+00:00,success,0
SV,MED,MNL,MED,SA,MNL,PH,2027-04-08,2027-04-11,Summer,Business,1,Bus-2,Business Flex,Business Flex,+70.69 USD,1975.33,USD,Ubfly,NFLEXB,Priority Services; Change without penalty; Uninterrupted return (up to the last 12 hours); Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,MED,MNL,MED,SA,MNL,PH,2027-02-09,2027-02-12,Winter,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,501.38,USD,Ubfly,NBASICE,1 Free bag: 23 kg,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,35.0,2026-07-29T13:34:28+00:00,success,0
SV,MED,MNL,MED,SA,MNL,PH,2027-02-09,2027-02-12,Winter,Economy,1,Eco-2,Economy Flex,Economy Flex,+49.74 USD,551.12,USD,Ubfly,NFLEXE,Change without penalty; Uninterrupted return (up to the last 12 hours); 2 Free bags: 23 kg,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,MED,MNL,MED,SA,MNL,PH,2027-02-09,2027-02-12,Winter,Business,0,Bus-1,Business Basic,Business Basic,0.00 USD,1904.64,USD,Ubfly,NBASICB,Priority Services; Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,175.0,2026-07-29T13:34:28+00:00,success,0
SV,MED,MNL,MED,SA,MNL,PH,2027-02-09,2027-02-12,Winter,Business,1,Bus-2,Business Flex,Business Flex,+70.69 USD,1975.33,USD,Ubfly,NFLEXB,Priority Services; Change without penalty; Uninterrupted return (up to the last 12 hours); Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,TIF,MNL,TIF,SA,MNL,PH,2026-09-17,2026-09-20,Summer,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,959.72,USD,Ubfly,NBASICE,1 Free bag: 23 kg,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,35.0,2026-07-29T13:34:28+00:00,success,0
SV,TIF,MNL,TIF,SA,MNL,PH,2026-09-17,2026-09-20,Summer,Economy,1,Eco-2,Economy Flex,Economy Flex,+48.09 USD,1007.81,USD,Ubfly,NFLEXE,Change without penalty; Uninterrupted return (up to the last 12 hours); 2 Free bags: 23 kg,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,TIF,MNL,TIF,SA,MNL,PH,2026-09-17,2026-09-20,Summer,Business,0,Bus-1,Business Basic,Business Basic,0.00 USD,2320.53,USD,Ubfly,NBASICB,Priority Services; Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,175.0,2026-07-29T13:34:28+00:00,success,0
SV,TIF,MNL,TIF,SA,MNL,PH,2026-09-17,2026-09-20,Summer,Business,1,Bus-2,Business Flex,Business Flex,+70.39 USD,2390.92,USD,Ubfly,NFLEXB,Priority Services; Change without penalty; Uninterrupted return (up to the last 12 hours); Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,TIF,MNL,TIF,SA,MNL,PH,2026-12-21,2026-12-24,Winter,Business,0,Bus-1,Business Basic,Business Basic,0.00 USD,3123.2,USD,Ubfly,NBASICB,Priority Services; Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,175.0,2026-07-29T13:34:28+00:00,success,0
SV,TIF,MNL,TIF,SA,MNL,PH,2026-12-21,2026-12-24,Winter,Business,1,Bus-2,Business Flex,Business Flex,+173.05 USD,3296.25,USD,Ubfly,NFLEXB,Priority Services; Change without penalty; Uninterrupted return (up to the last 12 hours); Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,TIF,MNL,TIF,SA,MNL,PH,2026-12-22,2026-12-25,Winter,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,766.62,USD,Ubfly,NBASICE,1 Free bag: 23 kg,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,35.0,2026-07-29T13:34:28+00:00,success,0
SV,TIF,MNL,TIF,SA,MNL,PH,2026-12-22,2026-12-25,Winter,Economy,1,Eco-2,Economy Flex,Economy Flex,+49.46 USD,816.08,USD,Ubfly,NFLEXE,Change without penalty; Uninterrupted return (up to the last 12 hours); 2 Free bags: 23 kg,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,ISB,LHR,ISB,PK,LON,GB,2027-05-19,2027-05-22,Summer,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,431.4,USD,Ubfly,NBASICE,1 Free bag: 23 kg,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,35.0,2026-07-29T13:34:28+00:00,success,0
SV,ISB,LHR,ISB,PK,LON,GB,2027-05-19,2027-05-22,Summer,Economy,1,Eco-2,Economy Flex,Economy Flex,+281.20 USD,712.6,USD,Ubfly,NFLEXE,Change without penalty; Uninterrupted return (up to the last 12 hours); 2 Free bags: 23 kg,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,ISB,LHR,ISB,PK,LON,GB,2026-11-29,2026-12-02,Winter,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,642.23,USD,Ubfly,NBASICE,1 Free bag: 23 kg,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,35.0,2026-07-29T13:34:28+00:00,success,0
SV,ISB,LHR,ISB,PK,LON,GB,2026-11-29,2026-12-02,Winter,Economy,1,Eco-2,Economy Flex,Economy Flex,+281.22 USD,923.45,USD,Ubfly,NFLEXE,Change without penalty; Uninterrupted return (up to the last 12 hours); 2 Free bags: 23 kg,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,LHE,LHR,LHE,PK,LON,GB,2026-08-29,2026-09-01,Summer,Economy,0,Eco-1,Economy Basic,Economy Basic,0.00 USD,2299.93,USD,Ubfly,NBASICE,1 Free bag: 23 kg,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,35.0,2026-07-29T13:34:28+00:00,success,0
SV,LHE,LHR,LHE,PK,LON,GB,2026-08-29,2026-09-01,Summer,Economy,1,Eco-2,Economy Flex,Economy Flex,+261.23 USD,2561.16,USD,Ubfly,NFLEXE,Change without penalty; Uninterrupted return (up to the last 12 hours); 2 Free bags: 23 kg,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,2026-07-29T13:34:28+00:00,success,0
SV,LHE,LHR,LHE,PK,LON,GB,2026-08-29,2026-09-01,Summer,Business,0,Bus-1,Business Basic,Business Basic,0.00 USD,3693.3,USD,Ubfly,NBASICB,Priority Services; Business/First Class: 2 free bags,Included,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,175.0,2026-07-29T13:34:28+00:00,success,0
